"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2010,"Informação e Comunicação","Serviços de Tecnologia da Informação","Desenvolvimento softwares customizáveis",1,36,"1666.66","1666.66",1,1,"62023","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2011,"Construção","Serviços Especializados para Construção","Obras de fundações",1,38,"830.66","1661.33",2,2,"43916","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2011,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Clubes sociais, esportivos e similares",1,48,"862.18","862.18",1,1,"93123","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2011,"Atividades Administrativas","Agências de viagens","Serviços de reservas e outros serviços de turismo",1,64,"800.3","800.3",1,1,"79902","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2011,"Outros Serviços","Outras atividades de serviços pessoais","Atividades funerárias",1,45,1040,1040,1,1,"96033","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2012,"Comércio","Comércio Atacadista","Atacado de ferragens e ferramentas",1,22,1000,1000,1,1,"46729","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Indústrias de Transformação","Produtos Diversos","Fabricação de bijuterias",1,20,701,1402,2,2,"32124","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de farinha de mandioca",1,37,"1028.2","1028.2",1,1,"10635","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Agropecuária","Confidential","Criação de suínos",1,59,1244,1244,1,1,"01547","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2012,"Saúde e serviços sociais","Saúde Humana","Atividades de outros profissionais da área de saúde",1,22,"1015.6","1015.6",1,1,"86500","#800000","/static/img/icons/industry_section/industry_section_q.png"
2012,"Atividades Administrativas","Agências de viagens","Operadores turísticos",1,63,"879.12","1758.24",2,2,"79121","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2012,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Outras atividades esportivas",1,28,980,1960,2,2,"93191","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2013,"Indústrias de Transformação","Produtos de metal","Fabricação de artigos de metal para uso doméstico",1,33,0,0,1,1,"25934","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2013,"Construção","Obras de Infra-estrutura","Construção de redes de água e esgoto",1,32,"1171.4","1171.4",1,1,"42227","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2013,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de farinha de mandioca",1,38,1090,1090,1,1,"10635","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2013,"Indústrias de Transformação","Manutenção de máquinas e equipamentos","Instalação de outros equipamentos",2,36,"1133.8","2267.6",2,1,"33295","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2013,"Outros Serviços","Outras atividades de serviços pessoais","Lavanderias e tinturarias",2,40,"776.12","2328.38",3,1,"96017","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2013,"Comércio","Comércio Varejista","Varejo de lubrificantes",1,32,0,0,1,1,"47326","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2013,"Educação","Educação","Ensino de idiomas",1,22,770,770,1,1,"85937","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2013,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Outras atividades esportivas",1,29,"1153.25","2306.5",2,2,"93191","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2013,"Serviços Especializados","Outras atividades profissionais","Outras atividades profissionais, científicas e técnicas",1,50,1188,1188,1,1,"74901","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2013,"Indústrias de Transformação","Produtos Diversos","Fabricação de artefatos de ourivesaria e joalheria",1,16,456,456,1,1,"32116","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2013,"Agropecuária","Confidential","Atividades de apoio à agricultura",1,58,765,765,1,1,"01610","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2014,"Saúde e serviços sociais","Saúde Humana","Atividades de apoio à gestão de saúde",1,38,"1126.16","2252.32",2,2,"86607","#800000","/static/img/icons/industry_section/industry_section_q.png"
2014,"Indústrias de Transformação","Manutenção de máquinas e equipamentos","Manutenção de equipamentos eletrônicos",1,23,"2105.31","2105.31",1,1,"33121","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Informação e Comunicação","Produção cinematográfica, de vídeos e de programas de televisão","Produção cinematográfica, de vídeos e de programas de televisão",1,40,"861.11","1722.22",2,2,"59111","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2014,"Outros Serviços","Outras atividades de serviços pessoais","Atividades funerárias",1,48,1620,1620,1,1,"96033","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2014,"Indústrias de Transformação","Produtos de metal","Fabricação de produtos de trefilados de metal",1,24,1075,1075,1,1,"25926","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Serviços Especializados","Publicidade e pesquisa de mercado","Outras atividades de publicidade",1,40,1087,1087,1,1,"73190","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2014,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Parques de diversão e parques temáticos",1,24,"1069.99","1069.99",1,1,"93212","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2014,"Serviços Especializados","Publicidade e pesquisa de mercado","Agências de publicidade",1,29,"868.99","868.99",1,1,"73114","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2014,"Transporte e correio","Atividades Auxiliares dos Transportes","Estacionamento de veículos",1,23,"1578.43","3156.87",2,2,"52231","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2014,"Indústrias de Transformação","Confecção e Vestuário","Confecção de roupas íntimas",1,66,0,0,1,1,"14118","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Indústrias de Transformação","Veículos Automotores","Fabricação de caminhões e ônibus",1,38,"1149.6","1149.6",1,1,"29204","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Agropecuária","Produção Florestal","Produção florestal - florestas plantadas",1,61,"1974.5","1974.5",1,1,"02101","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2015,"Construção","Obras de Infra-estrutura","Construção de redes de água e esgoto",1,34,"1357.6","1357.6",1,1,"42227","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2015,"Indústrias de Transformação","Produtos e materiais elétricos","Fabricação de outros equipamentos e aparelhos elétricos",1,38,1200,1200,1,1,"27902","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Indústrias de Transformação","Produtos Têxteis","Acabamentos em fios, tecidos e artefatos têxteis",1,31,"1487.66","1487.66",1,1,"13405","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
