"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2012,"Informação e Comunicação","Serviços de Tecnologia da Informação","Desenvolvimento softwares customizáveis",36,30,"3370.39","6683487.56",1983,55,"62023","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2012,"Transporte e correio","Transporte Terrestre","Transporte rodoviário de carga",57,35,"1273.84","412724.96",324,5,"49302","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2012,"Atividades Administrativas","Serviços para Edifícios","Atividades paisagísticas",20,32,"936.15","48679.95",52,2,"81303","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2012,"Indústrias de Transformação","Impressão e Reprodução de Gravações","Impressão de materiais para outros usos",42,33,"1332.73","387827.1",291,6,"18130","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Atividades Administrativas","Serviços para Edifícios","Imunização e controle de pragas urbanas",8,32,"1348.9","60700.68",45,5,"81222","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2012,"Atividades Administrativas","Aluguéis não-imobiliários","Aluguel de equipamentos para escritório",15,29,"1554.91","158601.76",102,6,"77331","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2012,"Construção","Serviços Especializados para Construção","Outros serviços especializados para construção",50,34,"1677.26","677615.15",404,8,"43991","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2012,"Saúde e serviços sociais","Saúde Humana Integradas com Assistência Social","Assistência a idosos e convalescentes prestadas em residências",12,38,"1152.9","157947.62",137,11,"87115","#800000","/static/img/icons/industry_section/industry_section_q.png"
2012,"Atividades Financeiras","Serviços Financeiros","Bancos múltiplos, com carteira comercial",90,37,"4889.88","9877575.31",2020,22,"64221","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2012,"Comércio","Comércio Atacadista","Atacado de computadores e periféricos",17,30,"1792.86","324507.92",181,10,"46516","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Comércio","Comércio Atacadista","Atacado de bebidas",16,33,"1169.31","112254.56",96,6,"46354","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Outros Serviços","Organizações Associativas","Organizações políticas",8,46,"1817.96","43631.06",24,3,"94928","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2012,"Atividades Imobiliárias","Atividades Imobiliárias","Atividades imobiliárias",77,39,"1640.92","315058.52",192,2,"68102","#a4bd99","/static/img/icons/industry_section/industry_section_l.png"
2012,"Indústrias de Transformação","Produtos de metal","Produção de artefatos estampados de metal",2,31,"1737.11","59061.76",34,17,"25322","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Transporte e correio","Atividades Auxiliares dos Transportes","Outras atividades auxiliares de transportes terrestres",10,35,"1441.09","72054.5",50,5,"52290","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2012,"Atividades Imobiliárias","Atividades Imobiliárias","Gestão de propriedade imobiliária",15,32,"1337.91","107033.08",80,5,"68226","#a4bd99","/static/img/icons/industry_section/industry_section_l.png"
2012,"Educação","Educação","Educação profissional",14,33,"1252.85","241800.37",193,13,"85414","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2012,"Atividades Financeiras","Atividades de Serviços Financeiros","Serviços financeiros",15,29,"2985.71","325443.14",109,7,"66193","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2012,"Transporte e correio","Transporte Terrestre","Transporte escolar",13,35,"754.36","24139.67",32,2,"49248","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2012,"Atividades Imobiliárias","Atividades Imobiliárias","Intermediação na compra, venda e aluguel de imóveis",91,32,"1847.62","1212042.07",656,7,"68218","#a4bd99","/static/img/icons/industry_section/industry_section_l.png"
2012,"Eletricidade e Gás","Eletricidade e gás","Atacado de energia elétrica",3,32,"3057.7","91731.26",30,10,"35131","#e377c2","/static/img/icons/industry_section/industry_section_d.png"
2012,"Artes, Cultura e Recreação","Atividades Artísticas","Artes cênicas e espetáculos",21,34,"1199.48","83964.05",70,3,"90019","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2012,"Indústrias de Transformação","Impressão e Reprodução de Gravações","Serviços de pré-impressão",11,31,"1821.42","109285.45",60,5,"18211","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Atividades Financeiras","Serviços Financeiros","Outras atividades de serviços financeiros",3,31,"2702.42","140526.32",52,17,"64999","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2012,"Serviços Especializados","Outras atividades profissionais","Design e decoração de interiores",4,29,"5954.66","446599.89",75,18,"74102","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2012,"Construção","Serviços Especializados para Construção","Outras obras de instalações em construções",16,34,"2071.28","470182.56",227,14,"43291","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2012,"Educação","Educação","Ensino médio",18,39,"2250.71","1802823.32",801,44,"85201","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2012,"Indústrias de Transformação","Veículos Automotores","Recondicionamento e recuperação de motores para automóveis",3,41,"1682.17","58875.96",35,11,"29506","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Atividades Financeiras","Seguros e Previdência Complementar","Seguros de vida",14,33,"3829.49","264234.89",69,4,"65111","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2012,"Comércio","Comércio de Veículos Automotores","Representantes comerciais de automóveis",5,31,"2206.87","267031.81",121,24,"45129","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Informação e Comunicação","Edição e impressão","Impressão de jornais",8,34,"2547.02","1642833.11",645,80,"58221","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2012,"Eletricidade e Gás","Eletricidade e gás","Geração de energia elétrica",8,40,"9543.11","3044252.84",319,39,"35115","#e377c2","/static/img/icons/industry_section/industry_section_d.png"
2012,"Comércio","Comércio Atacadista","Atacado de madeira e produtos derivados",6,33,"1051.03","73572.35",70,11,"46711","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Transporte e correio","Atividades Auxiliares dos Transportes","Atividades auxiliares dos transportes aéreos",11,34,"2711.06","1011227.75",373,33,"52401","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2012,"Indústrias de Transformação","Produtos eletrônicos","Fabricação de equipamentos de medida, teste e controle",7,29,"2620.67","319722.83",122,17,"26515","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Atividades Administrativas","Vigilância e Segurança","Atividades de vigilância e segurança privada",14,38,"1177.76","5767524.44",4897,349,"80111","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2012,"Informação e Comunicação","Telecomunicações","Telecomunicações sem fio",12,30,"3563.66","1208080.84",339,28,"61205","#57D200","/static/img/icons/industry_section/industry_section_j.png"
