"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2008,"Atividades Imobiliárias","Atividades Imobiliárias","Gestão de propriedade imobiliária",6,32,"669.68","10045.34",15,2,"68226","#a4bd99","/static/img/icons/industry_section/industry_section_l.png"
2008,"Comércio","Comércio Atacadista","Atacado de equipamentos e artigos de uso doméstico",28,28,"984.53","123067.43",125,4,"46494","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Saúde e serviços sociais","Saúde Humana","Atenção ambulatorial",114,31,"590.29","111566.36",189,1,"86305","#800000","/static/img/icons/industry_section/industry_section_q.png"
2008,"Comércio","Comércio Varejista","Varejo de equipamentos de telefonia e comunicação",27,28,"758.85","123693.29",163,6,"47521","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Comércio","Comércio Varejista","Varejo de material elétrico",15,30,"750.22","74271.9",99,6,"47423","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Educação","Educação","Ensino de esportes",2,26,"554.46","2772.31",5,2,"85911","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2008,"Indústrias de Transformação","Manutenção de máquinas e equipamentos","Instalação de outros equipamentos",4,27,"919.63","12874.93",14,3,"33295","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2008,"Indústrias de Transformação","Móveis","Fabricação de móveis de madeira",25,31,"832.39","111541.55",134,5,"31012","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2008,"Outros Serviços","Outras atividades de serviços pessoais","Cabeleireiros",17,31,"773.26","37890.06",49,2,"96025","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2008,"Comércio","Comércio Varejista","Varejo de livros, jornais, revistas e papelaria",42,27,"650.5","74157.31",114,2,"47610","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Comércio","Comércio Atacadista","Atacado de calçados e artigos de viagem",3,29,"679.11","4074.7",6,2,"46435","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Serviços Especializados","Arquitetura e Engenharia","Serviços de engenharia",10,35,"753.76","65577.89",87,8,"71120","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2008,"Comércio","Comércio Varejista","Varejo de instrumentos musicais e acessórios",2,24,"578.47","4049.3",7,3,"47563","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Comércio","Comércio Atacadista","Atacado de artigos do vestuário",17,28,"690.54","35217.67",51,3,"46427","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Outros Serviços","Reparação e Manutenção de Equipamentos","Manutenção de objetos e equipamentos domésticos",13,28,"694.18","19437.24",28,2,"95291","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2008,"Comércio","Comércio Atacadista","Atacado de instrumentos e materiais para uso médico",3,29,"744.26","8186.96",11,3,"46451","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Comércio","Comércio Varejista","Varejo de vidros",17,29,"857.91","57479.99",67,3,"47431","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Comércio","Comércio Varejista","Varejo de artigos de óptica",32,30,"919.18","84564.68",92,2,"47741","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Comércio","Comércio Atacadista","Representantes comerciais de máquinas, equipamentos, embarcações e aeronaves",1,23,"1111.5","1111.5",1,1,"46141","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Comércio","Comércio Varejista","Varejo de móveis, colchoaria e artigos de iluminação",74,31,"1013.47","446940.99",441,5,"47547","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
